julkaisu_pvm;tuotenimi;malli;tekniset_arvot;tuote_paaryhma_nimi;nimike;viivakoodi;vaaranlaji;tapaus_tulos;tapausnumero;tapauksen_kuvat;muut_tiedot;vastuutaho;asiakirjat;puutteet;paatos
31.05.2016;Tiger;Lasten huulipilli;Tuotenumero 2600226;Tavara;Lelu;;Tukehtuminen;Palautusmenettely;TAP-20160512-01;http://marek.tukes.fi/Tuote.aspx?kuvaid=29915;Poista tuote käytöstä välittömästi! Toiminnanharjoittaja on sitoutunut vapaaehtoisesti suorittamaan toimenpiteet, joiden avulla markkinoilla (myynnissä) ja loppukäyttäjillä jo olevat tuotteet saadaan kerättyä takaisin. Kuluttajansuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Kuluttajansuojalaissa muutoksineen on tarkemmin kerrottu menettelystä.;Tiger Stores Oy ,Maahantuoja,Mannerheimintie 18,00100,HELSINKI;http://marek.tukes.fi/Tuote.aspx?asiakirjaid=599,http://marek.tukes.fi/Tuote.aspx?asiakirjaid=600;Tuotteesta irtoaa pieniä osia, joista voi aiheutua lapsille tukehtumisvaara.;Toiminnanharjoittaja on  vapaaehtoisesti ryhtynyt tuotetta koskevan palautusmenettelyn järjestämiseen.
31.05.2016;Roikka;5796;16 A, 250 V ~, 2P+suojakosketin, kaapeli H05RR-F 3G1,5 mm², pituus 2,5 m;Asennustarvikkeet, kaapelit, komponentit;Auton lämmittimen liitäntäjohto;6430050628376;;Markkinoilta poisto;JAT-20150911-03;http://marek.tukes.fi/Tuote.aspx?kuvaid=28328,http://marek.tukes.fi/Tuote.aspx?kuvaid=28326,http://marek.tukes.fi/Tuote.aspx?kuvaid=28327;Määräyksellä poistaa tuote markkinoilta maahantuoja on velvoitettu lopettamaan tuotteen myynnin ja muun luovuttamisen sekä keräämään sen pois myynnistä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;Blue Import BIM Oy ,Maahantuoja,Hampuntie 12-14,36220,KANGASALA;;Pakkaskokeessa kaapeli ei täyttänyt taivutustestin vaatimuksia lämpötilan laskettua -50 asteeseen. Kaapelin vaippaan ja eristykseen tuli halkeamia siten, että johtimien säikeet tulevat kosketeltaviksi.;Tukesin päätöksellä tuote on määrätty poistettavaksi markkinoilta.
31.05.2016;Fenix;BT30R / HXY-084V1000A (latauslaite);Latauslaite: 100-240V, 50/60Hz, 8,4V / 1A, class II, IP20;Valaisimet ja valaisintarvikkeet;Polkupyörän lamppu;6942870303055;Sähköisku;Markkinoilta poisto;YNS-20151201-01;http://marek.tukes.fi/Tuote.aspx?kuvaid=28406,http://marek.tukes.fi/Tuote.aspx?kuvaid=28403,http://marek.tukes.fi/Tuote.aspx?kuvaid=28404;Määräyksellä poistaa tuote markkinoilta maahantuoja on velvoitettu lopettamaan tuotteen myynnin ja muun luovuttamisen sekä keräämään sen pois myynnistä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;Delotec Oy ,Maahantuoja,Ahjokatu 13,40320,JYVÄSKYLÄ;;Latauslaitteessa on riittämätön erotus verkkojännitteisten osien ja kosketeltavien metalliosien välillä.;Tukesin päätöksellä tuote on määrätty poistettavaksi markkinoilta.
31.05.2016;LED Ceiling Lamp;DAS0475 (CL081A-11"-10W);Valaisin: DS-10W,100-240V,50/60Hz,class I,IP20. Liitäntälaite: 100-240V,50/60Hz,25-43V/300mA, class II, IP20;Valaisimet ja valaisintarvikkeet;Kattovalaisin, led;6419773786259;;Markkinoilta poisto;YNS-20151119-08;http://marek.tukes.fi/Tuote.aspx?kuvaid=28301,http://marek.tukes.fi/Tuote.aspx?kuvaid=28294,http://marek.tukes.fi/Tuote.aspx?kuvaid=28298;Määräyksellä poistaa tuote markkinoilta maahantuoja on velvoitettu lopettamaan tuotteen myynnin ja muun luovuttamisen sekä keräämään sen pois myynnistä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;Veljekset Keskinen Oy ,Maahantuoja,Onnentie 7,63610,TUURI;;Valaisimessa on riittämätön erotus verkkojännitteisten osien ja kosketeltavien metalliosien välillä. Lamppu ei läpäissyt jännitekoetta.;Tukesin päätöksellä tuote on määrätty poistettavaksi markkinoilta.
03.06.2016;Kihlasormus kultainen 585;KK PP 3mm;1,98g;Korut;Sormus;;Taloudellinen menetys;Myyntikielto;ANP-20151229-03;http://marek.tukes.fi/Tuote.aspx?kuvaid=28029,http://marek.tukes.fi/Tuote.aspx?kuvaid=28171,http://marek.tukes.fi/Tuote.aspx?kuvaid=28172;Myyntikieltopäätöksellä maahantuoja tai myyjä on velvoitettu keräämään tämä tuote pois myynnistä. Puute tuotteen vaatimustenmukaisuudessa on kuluttajansuojalain mukainen tavaran virhe. Virheen oikaisussa ohjeita ja sovitteluapua antaa kuluttajaneuvonta http://www.kkv.fi/asiointi/kuluttajaneuvonta/. Tuotteet voidaan saattaa takaisin myyntiin leimaamalla ne alemmalla pitoisuusleimalla.;TT-Kulta Tapio Taskinen ,Valmistaja,Sarkatie 1,01720,VANTAA;;Tuotteen jalometallipitoisuus ei vastaa tuotteessa olevaa leimaa.;Tukesin päätöksellä tuotteelle on asetettu myyntikielto.
09.06.2016;Onni Orava helistin;Tuotenumero S-H075;;Tavara;Helistin;;Tukehtuminen;Palautusmenettely;ASK-20150930-01;http://marek.tukes.fi/Tuote.aspx?kuvaid=27837;Poista tuote käytöstä välittömästi! Toiminnanharjoittaja on oma-aloitteisesti suorittanut toimenpiteet, joiden avulla markkinoilla (myynnissä) ja loppukäyttäjillä jo olevat tuotteet saadaan kerättyä takaisin. Toiminnanharjoittaja antaa lisätietoja toimintaohjeista, tuotteen aiheutumasta vaarasta sekä jälleenmyyntipaikoista.;Logonet Promotion Oy ,Maahantuoja,Tehtaankatu 27-29 A,00150,HELSINKI;http://marek.tukes.fi/Tuote.aspx?asiakirjaid=607;Tuotteesta irtoaa pieniä osia (helistimen keskiosassa oleva liikkuva pallo), joista voi aiheutua lapsille tukehtumisvaara.;Toiminnanharjoittaja on  vapaaehtoisesti ryhtynyt tuotetta koskevan palautusmenettelyn järjestämiseen. Lisäksi Tukes on antanut asiasta myyntikieltopäätöksen.
10.06.2016;All Ride Item no 79766 / Shenzhen;All Ride Item no 79766 / FH-TC10;Input: 100-240 V, 50/60 Hz, 0.15 A Max., class II. Output: 5 V d.c., Max. 1 A.;Verkkoliitäntäkojeet ja lataus;Latauslaite, USB;8711252797663;Palo;Markkinoilta poisto;YNS-20160201-01;http://marek.tukes.fi/Tuote.aspx?kuvaid=29391,http://marek.tukes.fi/Tuote.aspx?kuvaid=29392,http://marek.tukes.fi/Tuote.aspx?kuvaid=29393;Määräyksellä poistaa tuote markkinoilta maahantuoja on velvoitettu lopettamaan tuotteen myynnin ja muun luovuttamisen sekä keräämään sen pois myynnistä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;Ale-Makasiini Matti Riikonen Oy Viitasaari,Vähittäismyyjä,Kauppakaari 4,44500,VIITASAARI;;Laitteen kotelomateriaali ei täytä standardin EN 60950 mukaisia tulenkestoisuusvaatimuksia.;Tukesin päätöksellä tuote on määrätty poistettavaksi markkinoilta.
10.06.2016;AWD;AWD 1800 Caib-AJ9-200;230V, 50HZ,1000/2000W;Lämmittimet, ilmastointi;Kuumailmapuhallin;6418914534155;Sähköisku,Palo;Myyntikielto;JAT-20160204-02;http://marek.tukes.fi/Tuote.aspx?kuvaid=29139,http://marek.tukes.fi/Tuote.aspx?kuvaid=29136,http://marek.tukes.fi/Tuote.aspx?kuvaid=29137;Myyntikieltopäätöksellä maahantuoja on määrätty lopettamaan tuotteen myynnin ja muun luovuttamisen eli uudet toimitukset jälleenmyyjille. Koska tuotteesta ei aiheudu välitöntä vaaraa hengelle, terveydelle tai omaisuudelle, maahantuojaa ei ole velvoitettu keräämään tätä tuotetta pois jälleenmyyjiltä tai loppukäyttäjiltä. Kuluttaja voi kuitenkin kuluttajasuojalain mukaan palauttaa tuotteen virheellisenä (turvallisuusvaatimusten vastaisena) ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voi tehdä, on myyjällä oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;Isojoen Konehalli Oy ,Maahantuoja,Keskustie 26,61850,KAUHAJOKI AS;;Kuumailmapuhaltimen liitäntäjohto (QINOPU®+, H05RN-F 2x1,0 mm²) ei kestä standardien EN 50525-2-21 ja EN 50363-2-1 mukaista taivutuskoetta alhaisessa lämpötilassa.;Tukesin päätöksellä tuotteelle on asetettu myyntikielto.
10.06.2016;brightsolar;LEDF-206S LED 6W(6x1W);DS-6W, 220-240V, 50/60Hz, class I, IP44;Valaisimet ja valaisintarvikkeet;Valonheitin, LED;6438014083803;Sähköisku;Markkinoilta poisto;YNS-20160128-04;http://marek.tukes.fi/Tuote.aspx?kuvaid=29150,http://marek.tukes.fi/Tuote.aspx?kuvaid=29147,http://marek.tukes.fi/Tuote.aspx?kuvaid=29148;Määräyksellä poistaa tuote markkinoilta maahantuoja on velvoitettu lopettamaan tuotteen myynnin ja muun luovuttamisen sekä keräämään sen pois myynnistä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;J. Kärkkäinen Oy (Suomi Trading),Maahantuoja,Ollilanojankatu 2,84100,YLIVIESKA;;Valonheitin ei täytä kotelointiluokan IP44 vaatimuksia.;Tukesin päätöksellä tuote on määrätty poistettavaksi markkinoilta.
10.06.2016;Pro Master;J0208;2xHD-230W-R7s, 230-240V, 50Hz, class I, IP44;Valaisimet ja valaisintarvikkeet;Valonheitin;6420286014142;Sähköisku,Palo;Markkinoilta poisto;YNS-20160226-02;http://marek.tukes.fi/Tuote.aspx?kuvaid=29523,http://marek.tukes.fi/Tuote.aspx?kuvaid=29516,http://marek.tukes.fi/Tuote.aspx?kuvaid=29522,http://marek.tukes.fi/Tuote.aspx?kuvaid=29534,http://marek.tukes.fi/Tuote.aspx?kuvaid=29524;Määräyksellä poistaa tuote markkinoilta maahantuoja on velvoitettu lopettamaan tuotteen myynnin ja muun luovuttamisen sekä keräämään sen pois myynnistä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;Linnax Oy ,Maahantuoja,Moottoritie 8,61800,KAUHAJOKI;;Valonheitin ei täytä kotelointiluokan IPX4 (roiskevedenpitävä) vaatimuksia. Valonheittimen liitäntäjohto (H05RN-F 3G1.0mm² NINGBO HUASHUN ELECTRONICS CO LTD) ei kestä standardien EN 50525-2-21 ja EN 50363-2-1 mukaista taivutuskoetta alhaisessa lämpötilassa.;Tukesin päätöksellä tuote on määrätty poistettavaksi markkinoilta.
